accuracy,f1,name,model
0.9654545454545455,0.9654645384033517,Feature Engineering,
0.9636363636363636,0.9637556256975518,Ensemble Voting,
0.9609090909090909,0.9609507896275191,Current Best,"RandomForestClassifier(max_depth=30, n_estimators=200, n_jobs=-1,
                       random_state=42)"
0.9609090909090909,0.961073790205745,Class Weights,
0.9590909090909091,0.9591375870077755,More Trees (500),
0.9572727272727273,0.957231409954721,Bootstrap Tuning,
