Feature,Mean_Abs_SHAP,Importance_Pct
humidity,0.015430258760593672,16.0618294240605
rainfall,0.015381977940888168,16.011572438575325
ph,0.012504235111219116,13.0160416977364
N,0.009778666883673666,10.178914165807077
P,0.007327078828858133,7.626980995698894
NPK_sum,0.00708905763178696,7.3792174341161605
K,0.006905670311399936,7.188323949807633
temp_humidity,0.004415996622581822,4.596746275589195
N_K_ratio,0.004388095529563525,4.567703172439867
P_K_ratio,0.004191886716900255,4.363463403723659
N_P_ratio,0.0037665072359356674,3.920672860171834
temperature,0.0030620452432528686,3.187376773712067
ph_acidic,0.001811093773654843,1.885223035773829
ph_alkaline,1.530781387401402e-05,0.01593437278755137
